Land,Year,Series,Value
Saint Vincent & Grenadines,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),42.974
Saint Vincent & Grenadines,2017,Land area (thousand hectares),39
Saint Vincent & Grenadines,2017,Arable land (thousand hectares),5
Saint Vincent & Grenadines,2017,Permanent crops (thousand hectares),3
Saint Vincent & Grenadines,2017,Forest cover (thousand hectares),27
Saint Vincent & Grenadines,2017,Arable land (% of total land area),12.8205
Saint Vincent & Grenadines,2017,Permanent crops (% of total land area),7.6923
Saint Vincent & Grenadines,2017,Forest cover (% of total land area),69.2308
Saint Vincent & Grenadines,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),42.974
Saint Vincent & Grenadines,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),42.974
Samoa,2005,Land area (thousand hectares),283
Samoa,2005,Arable land (thousand hectares),11
Samoa,2005,Permanent crops (thousand hectares),27
Samoa,2005,Forest cover (thousand hectares),171
Samoa,2005,Arable land (% of total land area),3.8869
Samoa,2005,Permanent crops (% of total land area),9.5406
Samoa,2005,Forest cover (% of total land area),60.424
Samoa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),8.3338
Samoa,2010,Land area (thousand hectares),283
Samoa,2010,Arable land (thousand hectares),8
Samoa,2010,Permanent crops (thousand hectares),22
Samoa,2010,Forest cover (thousand hectares),171
Samoa,2010,Arable land (% of total land area),2.8269
Samoa,2010,Permanent crops (% of total land area),7.7739
Samoa,2010,Forest cover (% of total land area),60.424
Samoa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),8.3338
Samoa,2017,Land area (thousand hectares),283
Samoa,2017,Arable land (thousand hectares),8
Samoa,2017,Permanent crops (thousand hectares),22
Samoa,2017,Forest cover (thousand hectares),171
Samoa,2017,Arable land (% of total land area),2.8269
Samoa,2017,Permanent crops (% of total land area),7.7739
Samoa,2017,Forest cover (% of total land area),60.424
Samoa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),13.6943
Samoa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),13.6943
San Marino,2005,Land area (thousand hectares),6
San Marino,2005,Arable land (thousand hectares),1
San Marino,2005,Forest cover (thousand hectares),0
San Marino,2005,Arable land (% of total land area),16.6667
San Marino,2005,Forest cover (% of total land area),0
San Marino,2010,Land area (thousand hectares),6
San Marino,2010,Arable land (thousand hectares),1
San Marino,2010,Forest cover (thousand hectares),0
San Marino,2010,Arable land (% of total land area),16.6667
San Marino,2010,Forest cover (% of total land area),0
San Marino,2017,Land area (thousand hectares),6
San Marino,2017,Arable land (thousand hectares),1
San Marino,2017,Forest cover (thousand hectares),0
San Marino,2017,Arable land (% of total land area),16.6667
San Marino,2017,Forest cover (% of total land area),0
Sao Tome and Principe,2005,Land area (thousand hectares),96
Sao Tome and Principe,2005,Arable land (thousand hectares),7
Sao Tome and Principe,2005,Permanent crops (thousand hectares),40
Sao Tome and Principe,2005,Forest cover (thousand hectares),56
Sao Tome and Principe,2005,Arable land (% of total land area),7.2917
Sao Tome and Principe,2005,Permanent crops (% of total land area),41.6667
Sao Tome and Principe,2005,Forest cover (% of total land area),58.3333
Sao Tome and Principe,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Sao Tome and Principe,2010,Land area (thousand hectares),96
Sao Tome and Principe,2010,Arable land (thousand hectares),6
Sao Tome and Principe,2010,Permanent crops (thousand hectares),39
Sao Tome and Principe,2010,Forest cover (thousand hectares),53.6
Sao Tome and Principe,2010,Arable land (% of total land area),6.25
Sao Tome and Principe,2010,Permanent crops (% of total land area),40.625
Sao Tome and Principe,2010,Forest cover (% of total land area),55.8333
Sao Tome and Principe,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),79.5465
Sao Tome and Principe,2017,Land area (thousand hectares),96
Sao Tome and Principe,2017,Arable land (thousand hectares),4
Sao Tome and Principe,2017,Permanent crops (thousand hectares),39
Sao Tome and Principe,2017,Forest cover (thousand hectares),53.6
Sao Tome and Principe,2017,Arable land (% of total land area),4.1667
Sao Tome and Principe,2017,Permanent crops (% of total land area),40.625
Sao Tome and Principe,2017,Forest cover (% of total land area),55.8333
Sao Tome and Principe,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),79.5465
Sao Tome and Principe,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),79.5465
Saudi Arabia,2005,Land area (thousand hectares),214969
Saudi Arabia,2005,Arable land (thousand hectares),3500
Saudi Arabia,2005,Permanent crops (thousand hectares),217
Saudi Arabia,2005,Forest cover (thousand hectares),977
Saudi Arabia,2005,Arable land (% of total land area),1.6281
Saudi Arabia,2005,Permanent crops (% of total land area),0.1009
Saudi Arabia,2005,Forest cover (% of total land area),0.4545
Saudi Arabia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9803
Saudi Arabia,2010,Land area (thousand hectares),214969
Saudi Arabia,2010,Arable land (thousand hectares),3180
Saudi Arabia,2010,Permanent crops (thousand hectares),226
Saudi Arabia,2010,Forest cover (thousand hectares),977
Saudi Arabia,2010,Arable land (% of total land area),1.4793
Saudi Arabia,2010,Permanent crops (% of total land area),0.1051
Saudi Arabia,2010,Forest cover (% of total land area),0.4545
Saudi Arabia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9803
Saudi Arabia,2017,Land area (thousand hectares),214969
Saudi Arabia,2017,Arable land (thousand hectares),3466
Saudi Arabia,2017,Permanent crops (thousand hectares),146
Saudi Arabia,2017,Forest cover (thousand hectares),977
Saudi Arabia,2017,Arable land (% of total land area),1.6123
Saudi Arabia,2017,Permanent crops (% of total land area),0.0679
Saudi Arabia,2017,Forest cover (% of total land area),0.4545
Saudi Arabia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9803
Saudi Arabia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9803
Senegal,2005,Land area (thousand hectares),19253
Senegal,2005,Arable land (thousand hectares),3126
Senegal,2005,Permanent crops (thousand hectares),50
Senegal,2005,Forest cover (thousand hectares),8673
Senegal,2005,Arable land (% of total land area),16.2364
Senegal,2005,Permanent crops (% of total land area),0.2597
Senegal,2005,Forest cover (% of total land area),45.0475
Senegal,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.4863
Senegal,2010,Land area (thousand hectares),19253
Senegal,2010,Arable land (thousand hectares),3800
Senegal,2010,Permanent crops (thousand hectares),58
Senegal,2010,Forest cover (thousand hectares),8473
Senegal,2010,Arable land (% of total land area),19.7372
Senegal,2010,Permanent crops (% of total land area),0.3013
Senegal,2010,Forest cover (% of total land area),44.0087
Senegal,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.4863
Senegal,2017,Land area (thousand hectares),19253
Senegal,2017,Arable land (thousand hectares),3200
Senegal,2017,Permanent crops (thousand hectares),78
Senegal,2017,Forest cover (thousand hectares),8273
Senegal,2017,Arable land (% of total land area),16.6208
Senegal,2017,Permanent crops (% of total land area),0.4051
Senegal,2017,Forest cover (% of total land area),42.9699
Senegal,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),37.8297
Senegal,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),37.8297
Serbia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),20.8162
Serbia,2010,Land area (thousand hectares),8746
Serbia,2010,Arable land (thousand hectares),2654.3
Serbia,2010,Permanent crops (thousand hectares),190.1
Serbia,2010,Forest cover (thousand hectares),2713
Serbia,2010,Arable land (% of total land area),30.3487
Serbia,2010,Permanent crops (% of total land area),2.1736
Serbia,2010,Forest cover (% of total land area),31.0199
Serbia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),22.3216
Serbia,2017,Land area (thousand hectares),8746
Serbia,2017,Arable land (thousand hectares),2595
Serbia,2017,Permanent crops (thousand hectares),208
Serbia,2017,Forest cover (thousand hectares),2720
Serbia,2017,Arable land (% of total land area),29.6707
Serbia,2017,Permanent crops (% of total land area),2.3782
Serbia,2017,Forest cover (% of total land area),31.0999
Serbia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),26.1262
Serbia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),26.1262
Serbia and Monten. [former],2005,Land area (thousand hectares),10200
Serbia and Monten. [former],2005,Arable land (thousand hectares),3505
Serbia and Monten. [former],2005,Permanent crops (thousand hectares),317
Serbia and Monten. [former],2005,Forest cover (thousand hectares),3102
Serbia and Monten. [former],2005,Arable land (% of total land area),34.3627
Serbia and Monten. [former],2005,Permanent crops (% of total land area),3.1078
Serbia and Monten. [former],2005,Forest cover (% of total land area),30.4118
Seychelles,2005,Land area (thousand hectares),46
Seychelles,2005,Arable land (thousand hectares),1
Seychelles,2005,Permanent crops (thousand hectares),3
Seychelles,2005,Forest cover (thousand hectares),40.666
Seychelles,2005,Arable land (% of total land area),2.1739
Seychelles,2005,Permanent crops (% of total land area),6.5217
Seychelles,2005,Forest cover (% of total land area),88.4043
Seychelles,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.5732
Seychelles,2010,Land area (thousand hectares),46
Seychelles,2010,Arable land (thousand hectares),0.9
Seychelles,2010,Permanent crops (thousand hectares),1.5
Seychelles,2010,Forest cover (thousand hectares),40.666
Seychelles,2010,Arable land (% of total land area),1.9565
Seychelles,2010,Permanent crops (% of total land area),3.2609
Seychelles,2010,Forest cover (% of total land area),88.4043
Seychelles,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.5732
Seychelles,2017,Land area (thousand hectares),46
Seychelles,2017,Arable land (thousand hectares),0.15
Seychelles,2017,Permanent crops (thousand hectares),1.4
Seychelles,2017,Forest cover (thousand hectares),40.666
Seychelles,2017,Arable land (% of total land area),0.3261
Seychelles,2017,Permanent crops (% of total land area),3.0435
Seychelles,2017,Forest cover (% of total land area),88.4043
Seychelles,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),28.5732
Seychelles,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),28.5732
Sierra Leone,2005,Land area (thousand hectares),7218
Sierra Leone,2005,Arable land (thousand hectares),1472.02
Sierra Leone,2005,Permanent crops (thousand hectares),140
Sierra Leone,2005,Forest cover (thousand hectares),2824
Sierra Leone,2005,Arable land (% of total land area),20.3937
Sierra Leone,2005,Permanent crops (% of total land area),1.9396
Sierra Leone,2005,Forest cover (% of total land area),39.1244
Sierra Leone,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),46.1265
Sierra Leone,2010,Land area (thousand hectares),7218
Sierra Leone,2010,Arable land (thousand hectares),1580.38
Sierra Leone,2010,Permanent crops (thousand hectares),150
Sierra Leone,2010,Forest cover (thousand hectares),2726
Sierra Leone,2010,Arable land (% of total land area),21.895
Sierra Leone,2010,Permanent crops (% of total land area),2.0781
Sierra Leone,2010,Forest cover (% of total land area),37.7667
Sierra Leone,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),55.1132
Sierra Leone,2017,Land area (thousand hectares),7218
Sierra Leone,2017,Arable land (thousand hectares),1584
Sierra Leone,2017,Permanent crops (thousand hectares),165
Sierra Leone,2017,Forest cover (thousand hectares),3044
Sierra Leone,2017,Arable land (% of total land area),21.9451
Sierra Leone,2017,Permanent crops (% of total land area),2.286
Sierra Leone,2017,Forest cover (% of total land area),42.1723
Sierra Leone,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),57.2646
Sierra Leone,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),57.2646
Singapore,2005,Land area (thousand hectares),68.9
Singapore,2005,Arable land (thousand hectares),0.66
Singapore,2005,Permanent crops (thousand hectares),0.1
Singapore,2005,Forest cover (thousand hectares),16.35
Singapore,2005,Arable land (% of total land area),0.9579
Singapore,2005,Permanent crops (% of total land area),0.1451
Singapore,2005,Forest cover (% of total land area),23.73
Singapore,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.1434
Singapore,2010,Land area (thousand hectares),70.2
Singapore,2010,Arable land (thousand hectares),0.64
Singapore,2010,Permanent crops (thousand hectares),0.1
Singapore,2010,Forest cover (thousand hectares),16.35
Singapore,2010,Arable land (% of total land area),0.9117
Singapore,2010,Permanent crops (% of total land area),0.1425
Singapore,2010,Forest cover (% of total land area),23.2906
Singapore,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.1434
Singapore,2017,Land area (thousand hectares),70.9
Singapore,2017,Arable land (thousand hectares),0.56
Singapore,2017,Permanent crops (thousand hectares),0.1
Singapore,2017,Forest cover (thousand hectares),16.35
Singapore,2017,Arable land (% of total land area),0.7898
Singapore,2017,Permanent crops (% of total land area),0.141
Singapore,2017,Forest cover (% of total land area),23.0606
Singapore,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),21.1434
Singapore,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),21.1434
Sint Maarten (Dutch part),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),5.0996
Sint Maarten (Dutch part),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),5.0996
Sint Maarten (Dutch part),2019,Important sites for terrestrial biodiversity protected (% of total sites protected),5.0996
Slovakia,2005,Land area (thousand hectares),4810
Slovakia,2005,Arable land (thousand hectares),1391
Slovakia,2005,Permanent crops (thousand hectares),26
Slovakia,2005,Forest cover (thousand hectares),1932
Slovakia,2005,Arable land (% of total land area),28.9189
Slovakia,2005,Permanent crops (% of total land area),0.5405
Slovakia,2005,Forest cover (% of total land area),40.1663
Slovakia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),77.5986
Slovakia,2010,Land area (thousand hectares),4809.1
Slovakia,2010,Arable land (thousand hectares),1392
Slovakia,2010,Permanent crops (thousand hectares),25.4
Slovakia,2010,Forest cover (thousand hectares),1939
Slovakia,2010,Arable land (% of total land area),28.9451
Slovakia,2010,Permanent crops (% of total land area),0.5282
Slovakia,2010,Forest cover (% of total land area),40.3194
Slovakia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),77.5997
Slovakia,2017,Land area (thousand hectares),4808
Slovakia,2017,Arable land (thousand hectares),1343
Slovakia,2017,Permanent crops (thousand hectares),18
Slovakia,2017,Forest cover (thousand hectares),1940
Slovakia,2017,Arable land (% of total land area),27.9326
Slovakia,2017,Permanent crops (% of total land area),0.3744
Slovakia,2017,Forest cover (% of total land area),40.3494
Slovakia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),85.7924
Slovakia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),85.7924
Slovenia,2005,Land area (thousand hectares),2014
Slovenia,2005,Arable land (thousand hectares),176
Slovenia,2005,Permanent crops (thousand hectares),28
Slovenia,2005,Forest cover (thousand hectares),1243
Slovenia,2005,Arable land (% of total land area),8.7388
Slovenia,2005,Permanent crops (% of total land area),1.3903
Slovenia,2005,Forest cover (% of total land area),61.718
Slovenia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),86.0968
Slovenia,2010,Land area (thousand hectares),2014.62
Slovenia,2010,Arable land (thousand hectares),184.59
Slovenia,2010,Permanent crops (thousand hectares),51.72
Slovenia,2010,Forest cover (thousand hectares),1247
Slovenia,2010,Arable land (% of total land area),9.1625
Slovenia,2010,Permanent crops (% of total land area),2.5672
Slovenia,2010,Forest cover (% of total land area),61.8975
Slovenia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),86.1099
Slovenia,2017,Land area (thousand hectares),2013.39
Slovenia,2017,Arable land (thousand hectares),183.63
Slovenia,2017,Permanent crops (thousand hectares),54.4
Slovenia,2017,Forest cover (thousand hectares),1248
Slovenia,2017,Arable land (% of total land area),9.1204
Slovenia,2017,Permanent crops (% of total land area),2.7019
Slovenia,2017,Forest cover (% of total land area),61.985
Slovenia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),88.6963
Slovenia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),88.6963
Solomon Islands,2005,Land area (thousand hectares),2799
Solomon Islands,2005,Arable land (thousand hectares),16
Solomon Islands,2005,Permanent crops (thousand hectares),65
Solomon Islands,2005,Forest cover (thousand hectares),2241
Solomon Islands,2005,Arable land (% of total land area),0.5716
Solomon Islands,2005,Permanent crops (% of total land area),2.3223
Solomon Islands,2005,Forest cover (% of total land area),80.0643
Solomon Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),3.3714
Solomon Islands,2010,Land area (thousand hectares),2799
Solomon Islands,2010,Arable land (thousand hectares),19
Solomon Islands,2010,Permanent crops (thousand hectares),80
Solomon Islands,2010,Forest cover (thousand hectares),2213
Solomon Islands,2010,Arable land (% of total land area),0.6788
Solomon Islands,2010,Permanent crops (% of total land area),2.8582
Solomon Islands,2010,Forest cover (% of total land area),79.064
Solomon Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),4.4338
Solomon Islands,2017,Land area (thousand hectares),2799
Solomon Islands,2017,Arable land (thousand hectares),20
Solomon Islands,2017,Permanent crops (thousand hectares),80
Solomon Islands,2017,Forest cover (thousand hectares),2185
Solomon Islands,2017,Arable land (% of total land area),0.7145
Solomon Islands,2017,Permanent crops (% of total land area),2.8582
Solomon Islands,2017,Forest cover (% of total land area),78.0636
Solomon Islands,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),4.4338
Solomon Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),4.4338
Somalia,2005,Land area (thousand hectares),62734
Somalia,2005,Arable land (thousand hectares),1350
Somalia,2005,Permanent crops (thousand hectares),27
Somalia,2005,Forest cover (thousand hectares),7131
Somalia,2005,Arable land (% of total land area),2.1519
Somalia,2005,Permanent crops (% of total land area),0.043
Somalia,2005,Forest cover (% of total land area),11.367
Somalia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Somalia,2010,Land area (thousand hectares),62734
Somalia,2010,Arable land (thousand hectares),1100
Somalia,2010,Permanent crops (thousand hectares),28
Somalia,2010,Forest cover (thousand hectares),6747
Somalia,2010,Arable land (% of total land area),1.7534
Somalia,2010,Permanent crops (% of total land area),0.0446
Somalia,2010,Forest cover (% of total land area),10.7549
Somalia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Somalia,2017,Land area (thousand hectares),62734
Somalia,2017,Arable land (thousand hectares),1100
Somalia,2017,Permanent crops (thousand hectares),25
Somalia,2017,Forest cover (thousand hectares),6363
Somalia,2017,Arable land (% of total land area),1.7534
Somalia,2017,Permanent crops (% of total land area),0.0399
Somalia,2017,Forest cover (% of total land area),10.1428
Somalia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),0
Somalia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0
South Africa,2005,Land area (thousand hectares),121309
South Africa,2005,Arable land (thousand hectares),13175
South Africa,2005,Permanent crops (thousand hectares),380
South Africa,2005,Forest cover (thousand hectares),9241
South Africa,2005,Arable land (% of total land area),10.8607
South Africa,2005,Permanent crops (% of total land area),0.3132
South Africa,2005,Forest cover (% of total land area),7.6177
South Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.3086
South Africa,2010,Land area (thousand hectares),121309
South Africa,2010,Arable land (thousand hectares),12533
South Africa,2010,Permanent crops (thousand hectares),430
South Africa,2010,Forest cover (thousand hectares),9241
South Africa,2010,Arable land (% of total land area),10.3315
South Africa,2010,Permanent crops (% of total land area),0.3545
South Africa,2010,Forest cover (% of total land area),7.6177
South Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.9578
South Africa,2017,Land area (thousand hectares),121309
South Africa,2017,Arable land (thousand hectares),12000
South Africa,2017,Permanent crops (thousand hectares),413
South Africa,2017,Forest cover (thousand hectares),9241
South Africa,2017,Arable land (% of total land area),9.8921
South Africa,2017,Permanent crops (% of total land area),0.3405
South Africa,2017,Forest cover (% of total land area),7.6177
South Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),31.1705
South Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),32.5125
South Sudan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.846
South Sudan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),33.5977
South Sudan,2017,Forest cover (thousand hectares),7157
South Sudan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),33.5977
South Sudan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),33.5977
Spain,2005,Land area (thousand hectares),49909
Spain,2005,Arable land (thousand hectares),12913
Spain,2005,Permanent crops (thousand hectares),4931
Spain,2005,Forest cover (thousand hectares),17282.09
Spain,2005,Arable land (% of total land area),25.8731
Spain,2005,Permanent crops (% of total land area),9.88
Spain,2005,Forest cover (% of total land area),34.6272
Spain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),52.7477
Spain,2010,Land area (thousand hectares),50001
Spain,2010,Arable land (thousand hectares),12528
Spain,2010,Permanent crops (thousand hectares),4693
Spain,2010,Forest cover (thousand hectares),18247.2
Spain,2010,Arable land (% of total land area),25.0555
Spain,2010,Permanent crops (% of total land area),9.3858
Spain,2010,Forest cover (% of total land area),36.4937
Spain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),54.6192
Spain,2017,Land area (thousand hectares),49954.735
Spain,2017,Arable land (thousand hectares),12253.767
Spain,2017,Permanent crops (thousand hectares),4731.4
Spain,2017,Forest cover (thousand hectares),18417.87
Spain,2017,Arable land (% of total land area),24.5297
Spain,2017,Permanent crops (% of total land area),9.4714
Spain,2017,Forest cover (% of total land area),36.8691
Spain,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),57.5909
Spain,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),57.5912
Sri Lanka,2005,Land area (thousand hectares),6271
Sri Lanka,2005,Arable land (thousand hectares),1100
Sri Lanka,2005,Permanent crops (thousand hectares),970
Sri Lanka,2005,Forest cover (thousand hectares),2118
Sri Lanka,2005,Arable land (% of total land area),17.5411
Sri Lanka,2005,Permanent crops (% of total land area),15.468
Sri Lanka,2005,Forest cover (% of total land area),33.7745
Sri Lanka,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.8451
Sri Lanka,2010,Land area (thousand hectares),6271
Sri Lanka,2010,Arable land (thousand hectares),1200
Sri Lanka,2010,Permanent crops (thousand hectares),980
Sri Lanka,2010,Forest cover (thousand hectares),2103
Sri Lanka,2010,Arable land (% of total land area),19.1357
Sri Lanka,2010,Permanent crops (% of total land area),15.6275
Sri Lanka,2010,Forest cover (% of total land area),33.5353
Sri Lanka,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.1126
Sri Lanka,2017,Land area (thousand hectares),6271
Sri Lanka,2017,Arable land (thousand hectares),1300
Sri Lanka,2017,Permanent crops (thousand hectares),1000
Sri Lanka,2017,Forest cover (thousand hectares),2070
Sri Lanka,2017,Arable land (% of total land area),20.7303
Sri Lanka,2017,Permanent crops (% of total land area),15.9464
Sri Lanka,2017,Forest cover (% of total land area),33.0091
Sri Lanka,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),43.6935
Sri Lanka,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.6935
State of Palestine,2005,Land area (thousand hectares),602
State of Palestine,2005,Arable land (thousand hectares),99
State of Palestine,2005,Permanent crops (thousand hectares),114.8
State of Palestine,2005,Forest cover (thousand hectares),9.17
State of Palestine,2005,Arable land (% of total land area),16.4452
State of Palestine,2005,Permanent crops (% of total land area),19.0698
State of Palestine,2005,Forest cover (% of total land area),1.5233
State of Palestine,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.4871
State of Palestine,2010,Land area (thousand hectares),602
State of Palestine,2010,Arable land (thousand hectares),43.7
State of Palestine,2010,Permanent crops (thousand hectares),54.2
State of Palestine,2010,Forest cover (thousand hectares),9.17
State of Palestine,2010,Arable land (% of total land area),7.2591
State of Palestine,2010,Permanent crops (% of total land area),9.0033
State of Palestine,2010,Forest cover (% of total land area),1.5233
State of Palestine,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.8341
State of Palestine,2017,Land area (thousand hectares),602
State of Palestine,2017,Arable land (thousand hectares),50.82
State of Palestine,2017,Permanent crops (thousand hectares),96.1
State of Palestine,2017,Forest cover (thousand hectares),9.17
State of Palestine,2017,Arable land (% of total land area),8.4419
State of Palestine,2017,Permanent crops (% of total land area),15.9635
State of Palestine,2017,Forest cover (% of total land area),1.5233
State of Palestine,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),24.3882
State of Palestine,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),24.4038
Sudan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),9.0909
Sudan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),9.0909
Sudan,2017,Arable land (thousand hectares),19823.16
Sudan,2017,Permanent crops (thousand hectares),168
Sudan,2017,Forest cover (thousand hectares),19209.938
Sudan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),17.8129
Sudan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),17.8129
Sudan [former],2005,Land area (thousand hectares),237600
Sudan [former],2005,Arable land (thousand hectares),18750
Sudan [former],2005,Permanent crops (thousand hectares),130
Sudan [former],2005,Forest cover (thousand hectares),28111.088
Sudan [former],2005,Arable land (% of total land area),7.8914
Sudan [former],2005,Permanent crops (% of total land area),0.0547
Sudan [former],2005,Forest cover (% of total land area),11.8313
Sudan [former],2010,Land area (thousand hectares),237600
Sudan [former],2010,Arable land (thousand hectares),19877.7
Sudan [former],2010,Permanent crops (thousand hectares),141.5
Sudan [former],2010,Forest cover (thousand hectares),27239.012
Sudan [former],2010,Arable land (% of total land area),8.366
Sudan [former],2010,Permanent crops (% of total land area),0.0596
Sudan [former],2010,Forest cover (% of total land area),11.4642
Suriname,2005,Land area (thousand hectares),15600
Suriname,2005,Arable land (thousand hectares),49
Suriname,2005,Permanent crops (thousand hectares),6
Suriname,2005,Forest cover (thousand hectares),15371
Suriname,2005,Arable land (% of total land area),0.3141
Suriname,2005,Permanent crops (% of total land area),0.0385
Suriname,2005,Forest cover (% of total land area),98.5321
Suriname,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899
Suriname,2010,Land area (thousand hectares),15600
Suriname,2010,Arable land (thousand hectares),55
Suriname,2010,Permanent crops (thousand hectares),6
Suriname,2010,Forest cover (thousand hectares),15351
Suriname,2010,Arable land (% of total land area),0.3526
Suriname,2010,Permanent crops (% of total land area),0.0385
Suriname,2010,Forest cover (% of total land area),98.4038
Suriname,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899
Suriname,2017,Land area (thousand hectares),15600
Suriname,2017,Arable land (thousand hectares),65
Suriname,2017,Permanent crops (thousand hectares),6
Suriname,2017,Forest cover (thousand hectares),15332
Suriname,2017,Arable land (% of total land area),0.4167
Suriname,2017,Permanent crops (% of total land area),0.0385
Suriname,2017,Forest cover (% of total land area),98.2821
Suriname,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899
Suriname,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1899
Sweden,2005,Land area (thousand hectares),41034
Sweden,2005,Arable land (thousand hectares),2698
Sweden,2005,Permanent crops (thousand hectares),5
Sweden,2005,Forest cover (thousand hectares),28218
Sweden,2005,Arable land (% of total land area),6.575
Sweden,2005,Permanent crops (% of total land area),0.0122
Sweden,2005,Forest cover (% of total land area),68.7674
Sweden,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),54.9902
Sweden,2010,Land area (thousand hectares),41034
Sweden,2010,Arable land (thousand hectares),2629
Sweden,2010,Permanent crops (thousand hectares),5
Sweden,2010,Forest cover (thousand hectares),28073
Sweden,2010,Arable land (% of total land area),6.4069
Sweden,2010,Permanent crops (% of total land area),0.0122
Sweden,2010,Forest cover (% of total land area),68.414
Sweden,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.2415
Sweden,2017,Land area (thousand hectares),40731
Sweden,2017,Arable land (thousand hectares),2563
Sweden,2017,Permanent crops (thousand hectares),5
